text,label
To all those who gloat “elections have consequences” ; let’s administer VACCINES (or not) have consequences.,False
"Corporations and health privacy in the US? How about we start by outlawing drug testing requirements for jobs that in no way impact public safety: bagging groceries, waiting tables...",False
No. Done with it.,False
"I have not eaten outside my house since March. 
I miss our favorite places. 
I don’t want to sit down for a dinner-length time anywhere because I am scared to. 
I know that chez moi I can eat and not risk anything. For me, it’s a bit sad to know I won’t patronize places we used to go to, but no. No yet.",True
"More people die each day in US from the virus than Taiwan has new cases, but we tell people to take off their masks. The can't do-won't do nation.",False
The CDC declined to comment?,False
"Humble humane empathetiic facts, science and reality in service of a more perfect stable American union points towards private employers making a forced vaccination choice from the context and perspective of their people or their profits.",False
If a company does not have a policy requiring vaccination there are employees who will reasonably refuse to go into such an infectious environment.,False
"Just require proof of vaccination to go back to the office and most people will lose their hesitancy pretty quickly, working from home is getting old now for all but a few people I know. Employees who don't like it can continue to work from home (if it makes sense for the business) or quit and find a different job.",True
Would companies be liable for litigation if a vaccinated worker gets the virus from an unvaccinated one?,False
Requiring employees to get vaxx’d is effective obedience testing.  The HR departments must be thrilled.,False
"Healthcare systems require all their employees, even those who do not interact with patients , to get vaccinated with the flu shot. This has been going on for awhile. Exceptions are for religious or medical reasons. Now that the Covid vaccines are most likely going to come off emergency FDA request, I think more companies may require it. Or they may influence employees to get it.",False
"Yes, Americans are yearning for their farro. (?!?!?!)",False
"My company has been successfully operating in work from home mode for over a year.  One potential strategy for us could be to require the vaccination for returning to the office, but allowing those who object to getting the vaccine to continue working remotely.  The article briefly touches on the fact that the COVID vaccines have emergency approval thus from from the USDA.  I wonder how the legal issues shift if the vaccines get full approval (like the ones most of our kids are required to have in order to attend school).",True
"Correction: “The Nation” didn’t want to eat out again! Trump and his Trumpers wanted to open everything up for the specific purpose of revamping the failing economy! Majority of Americans did not go out into the restaurants nor the pubs! Now, Trump and his Trumpers are insisting that schools re-open.....another massive disaster on its way! 

Trump failed America, Americans are dying!",True
And we are opening schools?,True
They should all be togo only for the rest of the year,False
Wait until the company health insurance provider refuses to cover Covid infection because the company did not provide adequate protection.   Or they rule it to be a preexisting condition,False
"""Bars and Restaurants"" is unwise lumping of two very different environments and behavioral sets associated with each.",False
"It seems like we don't have many outspoken advocates for COVID vaccination except the government officials. How about changing the profile picture to ""I got my COVID vaccine""? How about Facebook and Twitter issue a ""vaccinated"" verification mark?",False
"No shoes, no shirt, no vax, no service.",False
Insist on vaccinations or make them stay home. Everyone must be vaccinated for everyone to be safe.,True
"I live in Florida where less than 50% of residents have been fully vaccinated.  I continue to wear a mask when I'm around a lot of people, enter a restaurant or other business.",False
"Sigh... I've been enjoying mask-free grocery shopping, but that brief respite is over. Masking up again. Doesn't seem like there is much choice in the matter if you care about other people's health.",False
"We are told that immunized people are protected from the Delta variant. So, why the masks?  At this point, those who are not vaccinated have chosen to take all the risks associated with COVID-19, including the Delta variant. So, let them deal directly with the consequences of their own free choice.",False
Might as well eat out after the government took our jobs away.,False
"I'm vaccinated, but it's ""no biggie"" to me to continue to wear the mask in public. It's not about me, but about us.",False
"I have actually forgotten what some of my co workers look like!  There are a few new ppl that I have never seen their face at all, even though I spend several hours per week with them.  Even though we are all vaccinated. Enough already.",False
My company offers 4 hours PTO so employees can get each shot.,False
"It's NYC - a densely populated place, where we're surrounded by an unknown number of anti-vaxxers, hoax-believers,  and people lying about their vaccination status. Soon we'll be inundated with tourists bringing interesting variants here from different parts of the world

You can bet your last dollar that I'll wear a mask EVERY TIME I leave my home! Why would I take a chance now? I expect to be wearing a mask for *at least* another 10-12 months.",False
"The CDC made a very hasty decision regarding masks. There was no reason to drop mask wearing indoors in public spaces when it is impossible to tell who is and who is not vaccinated. It has given the unvaccinated a license to stop wearing a mask and yet not get vaccinated. My experience has been that more people in my area continue wearing masks than not, but then NM was a state with an early mask mandate and it may be that people are just used to wearing a mask now. I know I have no intention of giving up my KF94 in indoor spaces anytime soon, possibly forever. Throughout the vast majority of the pandemic we’ve been on our own when it comes to protection. Masks are not burdensome and are a prudent choice. It is still not known how long vaccination protection lasts. It’s not known if the vaccinated spread the virus or not. It is not known if a vaccinated person who gets a mild or asymptomatic case can become a long hauler or not. There are just too many unknowns. I’m of the mindset that I don’t care if others want to pretend the pandemic is completely behind us. I don’t believe it is and I’m going to continue to act accordingly no matter what others choose to do.",False
"I fwent to England for vacation recently with my family. We had a wonderful time, including eating out.

In my mind we should take risks as long they are reasonable. Minimizing deaths at all cost is a fool's errand.",False
"I work in healthcare. We are all required to get a flu vaccine. If we don't like it, fine, but we have to work elsewhere. I have no problem with this whatsoever. The argument about personal choice is overblown - choose your vaccine preferences, but we choose who works for us. The number of people with TRUE health issues is so minute, it is worth attention, but not as an argument. It can be managed. I am sick and tired of vaccine ignorance in this country. Too many people holding back are simply selfish, stubborn and ignorant and they have no true convictions about this - push them and they will comply. Also, use shaming, deny access, show proof of vaccine... make it incredibly inconvenient for the vaccine ignorant.",False
"Wonder whether the vaccine-hesitant people would have avoided the smallpox or polio vaccines, too.",False
The WHO also just recommended we don’t vaccinate children. Perhaps at this point we all can make our own assessments.,False
"Big brother is an absurd characterization. The public interest requires you to get the shot. If you won’t act in the public interest voluntarily, you muat be compelled to do so. The public interest in eradicating the pandemic takes precedence over any purported “right” not to take the vaccine.",False
This was predicted in the Spring,False
Everyone in the comments is a huge baby. Just put the mask on when you go into a store or other indoor place. Is it really that big of a deal? Nobody is saying you need to stop going out to eat or any of the other precious activities you do. Get over yourselves.,False
"I never stopped wearing my mask in public (and still rarely venture out--grocery store 1-2 times per month).

People are ungodly impatient & selfish!",False
"Two of my elderly neighbors were advised by their doctors to forgo Covid vaccinations for now.  Each has previously had a severe vaccine reaction.  Bells Palsy for one of them, anaphylaxis for the other. They are devastated and very much afraid of Covid and desperately wanted a vaccine.   
My spouse and I are vaccinated, and along with two other neighbors, we help them continue to get food and engage with the world as much as it remains safe for them to do so.
Our society cannot forever sequester those who can't get vaccinated for whatever reason.  When the rest of us are vaccinated, we need to realize that it is the unvaccinated who remain vulnerable.  They aren't a threat.   But excluding them from public spaces is on par with curbs, steps and narrow passageways that exclude the disabled. This is the problem with mandates and with businesses or government buildings requiring proof of vaccination.   We can forge a better way.",False
It's funny how people who insist they need to keep an arsenal of weaponry in their home and on their person for their protection now want to scoff at those of us who will choose to continue wearing a thin piece of fabric over our faces to keep us from getting sick.,False
"""“What if 10 percent of your work force refuses? Are you prepared to lay off that 10 percent?” he said he asked clients. “Or what if it’s someone high-level or in a key role, would you be prepared to impose consequences? And then they sometimes get more nervous.”""

Yes and Yes.",False
"The Delta variant is at its peak in the UK.

Daily deaths have never passed 20.

At the peak of the pandemic it was 1,200.

The nation is mostly open, and vaccination rates are similar to the US.

I am begging - pleading - with the NYT and other media to put the Delta panic into perspective.

If you're in a well-vaccinated state, you don't need to go into reverse on Covid restrictions.",True
"I really fear for the safety of restaurant workers' family members.

Aerosal spread is real.  I think restaurants should increasingly follow Jose Andres'lead.",False
"If only those who cry ""medical privacy"" could somehow keep the virus to themselves, as well.",False
"America is heading towards a dictatorship with the Constitution and the Bill of Rights meaningless. Abraham Lincoln predicted this which applies now ""I see a very dark cloud on our horizon and that dark cloud is coming from Rome.""",False
"All the readers say companies are justified in requiring the vaccine. But this vaccine hasn't even been given final FDA approval. It's still under emergency use authorization only. How much power should employers be allowed to have over us? Should we be required to take a booster? 5 boosters? 10? Should we be required to mask forever to protect everyone else from their fear? I thought we owned our bodies. My company mandated it early on. I'm still angry about it, especially since we're still wearing masks and getting tested. But they own me.",False
"Yes.  True points.  As you say, ""many restaurant and bar employees across the country are in their 20s and can carry the virus home and possibly seed household transmissions, which have soared....""  And yes. ""Epidemiologists roundly agree that indoor dining, especially in bars, is far more likely to spawn outbreaks than outdoor settings.""    So what do you think is about to happen as millions of teens and young adults crowd into classrooms and dorms across the nation?  It is not possible to avoid the reality of what we are doing, or what the consequences will surely be.  We've already seen it.  Yes, workers have been kept from pay and the poor suffer.  Yes, businesses are breaking down.  No, the republican leadership will never agree to subsidize the nation until a real decline in cases comes.  So yes, we are being forced to open schools for children, and colleges are forced to open as they lack funding otherwise.  But it is not a secret, and it is not avoidable--the illnesses and deaths about to be unleashed as this latest folly unfolds.  Too bad.  Too bad.",True
"I have not been out to a restaurant since the beginning of March. My husband and I  miss it greatly, but we live in Florida where masks are not even required when walking in our downtown area. This is an area teaming with restaurants, and people are even lined up at the ice cream shop hip-to-hip waiting to place their order. It is sad that so many people here are not taking the virus seriously. 
I also feel that our state has sent the message that we are a great alternative for people who want to get away this summer. 
Schools are also opening soon and must offer a five day school week per order of DeSantis. Alarming!",True
"Science vs. quackery and conspiracy theories. Where will the people with the power to make policy, whether in the private or public arenas, choose to stand?",False
Our country’s response to this pandemic has been woeful. Zero leadership.,False
"I have a company  and we're not hiring or keeping anyone employed that won't get vaccinated.

Soon, outbreaks will be able to be traced back to their point of origin and those businesses that allowed the the infected in are going to get sued to oblivion as they should.",False
"Bottom line: America is not going to cut this. Mandates will be struck down eventually in the name of ""freedom"". With exceptionalism and our litigious climate we will never get close to herd immunity. Covid will become endemic and will be part of the American way of life just as obesity has become as American as apple pie. We likely will be barred from many countries in Europe and Asia, where vaccines will be taken as a matter of course. Here in America we will face disruptions from Covid for years to come adding to America's decline.",False
