text,label
COVID-19 Awards,False
Cancel the 2020-2021 school year SOLs,False
..,False
Protect our nurses!,False
SENSELESS IMPRISONMENT FOR MY MOM.. FIRST TIME OFFENDER NON-VIOLENT CRIME,False
COVID-19: Demand immediate release for those incarcerated in Knox County jail,False
"Petition to recall Desmond Elliot from the Lagos House of Assembly, Surulere Constituency",False
Texas UIL Spring Sports/Competitions to be completed during the Summer of 2020,False
Prioritize Vaccinating Florida Teachers,True
Save Plum Island Coffee Roasters,False
Suspend Rent & Mortgage in Canada during COVID-19,False
Ask the City of Winston-Salem to support in-street dining for downtown resturants!,False
Have Online Classes & Close Physical BMCC campus due to Outbreak of COVID-19,False
Appello per la pace in Etiopia,False
Stop Guinea Pig Vaccine Tests In  Africa for Covid 19/ Corona Virus,False
Rowan University: Universal Pass System,False
Allow Athletic Therapists to treat their patients,False
Allow not COVID related evictions,False
#FreeNeko from Navajo County Jail,False
ÖZEL OKUL ÖDEMELERİNİNDE İNDİRİM,False
Allow Golf courses to open in Ontario,False
Extend Winter Break at UBC,False
Include Preschool Teachers in the Phase 1b vaccine rollout in Kentucky,True
"Justice for Dr. Abhishek Bhayana, youngest frontline covid warrior",False
Petition for Approval to Provide Illinois Early Intervention Services via Telehealth,False
Help animal shelters during COVID-19,False
"Allow access in Point Roberts, WA for Canadian property, boat & animal owners",False
Lower Tuition at Hope College During Covid-19,False
School Stays ON !,False
Licensure Extension for TLLP due to COVID-19,False
Cancel rental payment for international student of Australia during COVID-19 crisis,False
Provide easily accessible and free COVID-19 testing across India.,False
Community Demands for Lesley University's Covid-19 Response,False
Free Jay Regas,False
Remove Dr. Wajid Ahmed from his position as Medical Officer of Health for Windsor/Essex,False
Hazard Pay For Essential Workers,False
Let our 4 year old Melbourne kinder kids go to their Primary Schools for prep orientation,False
SHUTDOWN BROWARD COUNTY,False
Make the CDC report the number of coronavirus cases per state,False
End Hate Crimes Against Asian Americans,False
"Lockdown India Completely Until 31st Mar (At least) - (Buses, Flights, Trains, Shops etc)",False
Cancel the 2020 St Patrick's Day Parades in Ireland to help reduce the spread of COVID-19,False
Keep Yehaa Bob at Port Orleans,False
Allow Fall Advantage participants to arrive for the Fall program.,False
"Teachers, Students, and Staff are NOT Expendable",False
Change the 2020 Year 12 VCE Exams,False
Ban Eating Dogs & Cats in China - Now.,False
Covid-19:   Salud a través del ejercicio!,False
Call for the Resignation of Los Angeles Mayor Eric Garcetti for BLM Protest Response,False
